employee_id,department,role,tenure_years
EMP0665,Sales,Director,12.4
EMP0666,Sales,Manager,6.3
EMP0667,Sales,Individual Contributor,3.2
EMP0668,Sales,Director,13.2
EMP0669,Sales,Individual Contributor,14.9
EMP0670,Engineering,Manager,6.7
EMP0671,Sales,Individual Contributor,13.1
EMP0672,Finance,Manager,8.2
EMP0673,Sales,Manager,14.4
EMP0674,Engineering,Manager,4.4
EMP0675,Engineering,Manager,17.9
EMP0676,Finance,Individual Contributor,6.1
EMP0677,Sales,Individual Contributor,7.7
EMP0678,Engineering,Individual Contributor,1.6
EMP0679,Finance,Individual Contributor,2.7
EMP0680,Finance,Individual Contributor,10.6
EMP0681,Marketing,Individual Contributor,5.7
EMP0682,Engineering,Director,16.8
EMP0683,Sales,Individual Contributor,0.8
EMP0684,HR,Manager,7.9
EMP0685,Finance,Individual Contributor,7.1
EMP0686,Engineering,Manager,0.9
EMP0687,Engineering,Director,2.9
EMP0688,Engineering,Individual Contributor,8.6
EMP0689,Marketing,Individual Contributor,10.1
EMP0690,Sales,Manager,8.4
EMP0691,Engineering,Individual Contributor,10.9
EMP0692,Engineering,Individual Contributor,12.1
EMP0693,Engineering,Individual Contributor,0.7
EMP0694,Sales,Individual Contributor,9.5
EMP0695,Sales,Individual Contributor,19.3
EMP0696,HR,Individual Contributor,10.6
EMP0697,Engineering,Individual Contributor,13.7
EMP0698,Engineering,Individual Contributor,6.6
EMP0699,Sales,Director,15.6
EMP0700,Engineering,Individual Contributor,15.6
EMP0701,Engineering,Director,10.7
EMP0702,Sales,Individual Contributor,19.5
EMP0703,Engineering,Individual Contributor,2.9
EMP0704,Sales,Individual Contributor,0.8
EMP0705,Sales,Individual Contributor,15.5
EMP0706,Finance,Individual Contributor,16.2
EMP0707,Engineering,Individual Contributor,2.8
EMP0708,Marketing,Individual Contributor,5.7
EMP0709,Engineering,Individual Contributor,0.8
EMP0710,HR,Individual Contributor,6.2
EMP0711,Marketing,Individual Contributor,15.6
EMP0712,Engineering,Individual Contributor,10.6
EMP0713,Engineering,Manager,7.3
EMP0714,Engineering,Individual Contributor,7.7
EMP0715,Engineering,Individual Contributor,0.5
EMP0716,Finance,Director,6.3
EMP0717,Marketing,Individual Contributor,13.1
EMP0718,Finance,Individual Contributor,19.5
EMP0719,Sales,Director,17.0
EMP0720,Marketing,Individual Contributor,1.0
EMP0721,Finance,Individual Contributor,18.0
EMP0722,Sales,Individual Contributor,15.8
EMP0723,Sales,Individual Contributor,15.7
EMP0724,Marketing,Individual Contributor,9.4
EMP0725,Engineering,Individual Contributor,8.3
EMP0726,Marketing,Individual Contributor,6.4
EMP0727,Sales,Individual Contributor,1.8
EMP0728,Marketing,Director,5.0
EMP0729,Sales,Manager,5.3
EMP0730,Sales,Individual Contributor,9.9
EMP0731,Sales,Individual Contributor,15.1
EMP0732,Marketing,Individual Contributor,9.7
EMP0733,HR,Individual Contributor,1.6
EMP0734,Engineering,Individual Contributor,19.2
EMP0735,Engineering,Individual Contributor,18.9
EMP0736,Finance,Manager,15.8
EMP0737,Engineering,Individual Contributor,19.8
EMP0738,Marketing,Individual Contributor,11.1
EMP0739,Engineering,Individual Contributor,19.3
EMP0740,Engineering,Individual Contributor,2.0
EMP0741,Engineering,Manager,7.6
EMP0742,Engineering,Manager,4.9
EMP0743,Marketing,Manager,4.3
EMP0744,Engineering,Individual Contributor,3.2
EMP0745,Sales,Individual Contributor,12.6
EMP0746,Finance,Individual Contributor,15.7
EMP0747,Engineering,Individual Contributor,11.8
EMP0748,Engineering,Individual Contributor,3.4
EMP0749,Finance,Manager,16.3
EMP0750,HR,Individual Contributor,12.9
EMP0751,Sales,Individual Contributor,8.1
EMP0752,Finance,Individual Contributor,13.6
EMP0753,HR,Individual Contributor,5.6
EMP0754,Engineering,Individual Contributor,7.2
EMP0755,Sales,Director,18.4
EMP0756,Marketing,Manager,6.2
EMP0757,HR,Director,9.7
EMP0758,Engineering,Individual Contributor,17.9
EMP0759,Finance,Individual Contributor,14.3
EMP0760,Marketing,Individual Contributor,1.7
EMP0761,Sales,Individual Contributor,3.4
EMP0762,Engineering,Manager,0.7
EMP0763,Sales,Individual Contributor,12.8
EMP0764,Marketing,Individual Contributor,9.2
EMP0765,Sales,Individual Contributor,3.1
EMP0766,Engineering,Individual Contributor,19.2
EMP0767,Marketing,Manager,10.8
EMP0768,Finance,Individual Contributor,5.2
EMP0769,Engineering,Individual Contributor,10.3
EMP0770,Marketing,Individual Contributor,13.8
EMP0771,Sales,Individual Contributor,2.0
EMP0772,Marketing,Manager,5.9
EMP0773,Sales,Manager,16.2
EMP0774,Engineering,Director,9.5
EMP0775,Marketing,Manager,11.2
EMP0776,Sales,Individual Contributor,8.9
EMP0777,Sales,Individual Contributor,1.4
EMP0778,Marketing,Individual Contributor,3.7
EMP0779,Marketing,Individual Contributor,9.2
EMP0780,HR,Manager,4.6
EMP0781,HR,Individual Contributor,1.5
EMP0782,Engineering,Director,17.0
EMP0783,Engineering,Individual Contributor,19.6
EMP0784,Engineering,Individual Contributor,16.0
EMP0785,Sales,Individual Contributor,17.1
EMP0786,Finance,Manager,5.2
EMP0787,Engineering,Individual Contributor,19.2
EMP0788,Engineering,Individual Contributor,4.3
EMP0789,Engineering,Individual Contributor,19.1
EMP0790,Finance,Individual Contributor,19.9
EMP0791,Sales,Individual Contributor,14.4
EMP0792,Engineering,Manager,19.6
EMP0793,Engineering,Individual Contributor,11.6
EMP0794,HR,Individual Contributor,5.6
EMP0795,Sales,Individual Contributor,9.0
EMP0796,Finance,Individual Contributor,12.1
EMP0797,Finance,Manager,1.9
EMP0798,Engineering,Individual Contributor,12.6
EMP0799,HR,Individual Contributor,19.6
EMP0800,Finance,Individual Contributor,4.2
EMP0801,Marketing,Director,16.0
EMP0802,Sales,Manager,18.2
EMP0803,Engineering,Individual Contributor,18.9
EMP0804,HR,Individual Contributor,19.2
EMP0805,Engineering,Individual Contributor,10.7
EMP0806,Marketing,Manager,19.6
EMP0807,Finance,Individual Contributor,15.3
EMP0808,Finance,Individual Contributor,3.7
EMP0809,Engineering,Individual Contributor,9.8
EMP0810,Sales,Individual Contributor,14.5
EMP0811,Finance,Individual Contributor,5.3
EMP0812,Marketing,Manager,13.0
EMP0813,Sales,Individual Contributor,13.5
EMP0814,Finance,Individual Contributor,3.7
EMP0815,Finance,Individual Contributor,11.5
EMP0816,Engineering,Director,15.5
EMP0817,Engineering,Individual Contributor,10.2
EMP0818,Engineering,Manager,0.7
EMP0819,Sales,Individual Contributor,0.7
EMP0820,Engineering,Individual Contributor,7.5
EMP0821,Marketing,Individual Contributor,18.6
EMP0822,Sales,Individual Contributor,5.0
EMP0823,Engineering,Individual Contributor,12.9
EMP0824,Engineering,Manager,4.8
EMP0825,Engineering,Individual Contributor,6.8
EMP0826,Finance,Individual Contributor,17.0
EMP0827,Engineering,Individual Contributor,14.7
EMP0828,Engineering,Director,2.4
EMP0829,Marketing,Manager,8.9
EMP0830,Engineering,Individual Contributor,1.1
EMP0831,Sales,Director,9.9
EMP0832,Engineering,Individual Contributor,13.4
EMP0833,Sales,Individual Contributor,2.8
EMP0834,Sales,Manager,6.1
EMP0835,Engineering,Manager,8.3
EMP0836,Engineering,Individual Contributor,18.4
EMP0837,Finance,Individual Contributor,19.9
EMP0838,Engineering,Individual Contributor,1.4
EMP0839,Engineering,Director,15.3
EMP0840,HR,Individual Contributor,7.7
EMP0841,Sales,Individual Contributor,8.2
EMP0842,HR,Individual Contributor,15.2
EMP0843,Sales,Individual Contributor,18.4
EMP0844,Finance,Individual Contributor,19.0
EMP0845,Sales,Director,11.8
EMP0846,Engineering,Individual Contributor,7.5
EMP0847,Sales,Individual Contributor,15.9
EMP0848,Finance,Individual Contributor,5.4
EMP0849,Engineering,Manager,11.5
EMP0850,Engineering,Individual Contributor,7.5
EMP0851,Sales,Individual Contributor,13.3
EMP0852,Marketing,Manager,5.2
EMP0853,Sales,Manager,4.2
EMP0854,Finance,Manager,18.4
EMP0855,Sales,Director,2.5
EMP0856,Sales,Individual Contributor,10.4
EMP0857,Sales,Manager,4.8
EMP0858,Engineering,Individual Contributor,1.3
EMP0859,Engineering,Manager,1.2
EMP0860,Sales,Manager,3.9
EMP0861,Marketing,Manager,17.4
EMP0862,Engineering,Individual Contributor,6.0
EMP0863,Engineering,Individual Contributor,19.0
EMP0864,Engineering,Individual Contributor,11.8
EMP0865,Engineering,Director,9.0
EMP0866,Engineering,Director,11.8
EMP0867,Sales,Individual Contributor,10.6
EMP0868,Sales,Individual Contributor,15.3
EMP0869,Finance,Individual Contributor,6.0
EMP0870,Finance,Manager,7.4
EMP0871,Engineering,Manager,17.9
EMP0872,Engineering,Individual Contributor,19.0
EMP0873,HR,Individual Contributor,17.9
EMP0874,Engineering,Manager,8.7
EMP0875,Sales,Manager,15.7
EMP0876,Sales,Individual Contributor,9.8
EMP0877,Marketing,Individual Contributor,10.2
EMP0878,HR,Individual Contributor,4.5
EMP0879,Sales,Individual Contributor,12.0
EMP0880,Sales,Individual Contributor,4.1
EMP0881,Sales,Individual Contributor,7.0
EMP0882,HR,Manager,17.2
EMP0883,Sales,Individual Contributor,4.5
EMP0884,Sales,Manager,1.9
EMP0885,Marketing,Individual Contributor,1.8
EMP0886,Sales,Individual Contributor,18.8
EMP0887,HR,Individual Contributor,10.4
EMP0888,Sales,Individual Contributor,8.5
EMP0889,Sales,Manager,16.3
EMP0890,Sales,Director,16.8
EMP0891,Marketing,Individual Contributor,7.0
EMP0892,Finance,Individual Contributor,14.0
EMP0893,Marketing,Manager,15.5
EMP0894,Engineering,Individual Contributor,13.3
EMP0895,HR,Individual Contributor,3.5
EMP0896,Sales,Manager,17.6
EMP0897,Engineering,Individual Contributor,11.0
EMP0898,Finance,Individual Contributor,6.0
EMP0899,Sales,Individual Contributor,8.8
EMP0900,Sales,Manager,1.2
EMP0901,Sales,Individual Contributor,3.0
EMP0902,Sales,Individual Contributor,15.4
EMP0903,Sales,Manager,0.5
EMP0904,Engineering,Individual Contributor,8.6
EMP0905,Engineering,Manager,10.7
EMP0906,Finance,Individual Contributor,1.6
EMP0907,Marketing,Director,19.5
EMP0908,Engineering,Individual Contributor,4.9
EMP0909,Engineering,Individual Contributor,6.4
EMP0910,Engineering,Individual Contributor,6.4
EMP0911,Engineering,Individual Contributor,5.0
EMP0912,Engineering,Manager,0.5
EMP0913,HR,Director,14.7
EMP0914,Engineering,Individual Contributor,19.4
EMP0915,Engineering,Individual Contributor,4.9
EMP0916,Engineering,Manager,13.4
EMP0917,Engineering,Manager,15.0
EMP0918,Finance,Individual Contributor,17.0
EMP0919,Marketing,Individual Contributor,8.7
EMP0920,Sales,Individual Contributor,6.4
EMP0921,Finance,Individual Contributor,6.8
EMP0922,Engineering,Individual Contributor,14.4
EMP0923,Finance,Individual Contributor,16.4
EMP0924,Marketing,Individual Contributor,4.0
EMP0925,Engineering,Manager,7.7
EMP0926,Sales,Individual Contributor,18.1
EMP0927,Engineering,Individual Contributor,16.2
EMP0928,Engineering,Individual Contributor,19.7
EMP0929,HR,Individual Contributor,15.2
EMP0930,Engineering,Individual Contributor,8.2
EMP0931,Sales,Individual Contributor,12.0
EMP0932,Marketing,Individual Contributor,13.4
EMP0933,Finance,Individual Contributor,2.0
EMP0934,Engineering,Individual Contributor,11.1
EMP0935,Sales,Individual Contributor,14.3
EMP0936,Engineering,Manager,3.8
EMP0937,Sales,Individual Contributor,15.7
EMP0938,Finance,Manager,11.9
EMP0939,Sales,Individual Contributor,19.1
EMP0940,Engineering,Individual Contributor,1.3
EMP0941,Engineering,Individual Contributor,5.7
EMP0942,Engineering,Individual Contributor,12.2
EMP0943,HR,Manager,6.3
EMP0944,Marketing,Manager,14.4
EMP0945,Sales,Manager,15.3
EMP0946,Sales,Individual Contributor,2.5
EMP0947,Sales,Individual Contributor,10.5
EMP0948,Finance,Individual Contributor,10.4
EMP0949,Finance,Individual Contributor,7.7
EMP0950,Engineering,Individual Contributor,18.7
EMP0951,HR,Individual Contributor,16.6
EMP0952,HR,Individual Contributor,14.1
EMP0953,Sales,Individual Contributor,14.4
EMP0954,Finance,Manager,9.5
EMP0955,Engineering,Director,18.5
EMP0956,Engineering,Director,14.0
EMP0957,Engineering,Individual Contributor,14.7
EMP0958,Sales,Individual Contributor,17.3
EMP0959,Sales,Individual Contributor,5.8
EMP0960,Marketing,Manager,16.2
EMP0961,Sales,Individual Contributor,4.3
EMP0962,HR,Individual Contributor,7.2
EMP0963,Sales,Manager,7.0
EMP0964,Engineering,Individual Contributor,19.6
EMP0965,Engineering,Individual Contributor,17.2
EMP0966,Engineering,Individual Contributor,14.2
EMP0967,Marketing,Individual Contributor,14.7
EMP0968,Engineering,Individual Contributor,11.5
EMP0969,Engineering,Individual Contributor,19.0
EMP0970,Engineering,Individual Contributor,10.2
EMP0971,HR,Individual Contributor,7.9
EMP0972,Finance,Manager,3.7
EMP0973,Marketing,Individual Contributor,15.8
EMP0974,Sales,Individual Contributor,14.8
EMP0975,Sales,Individual Contributor,8.0
EMP0976,Engineering,Director,1.0
EMP0977,Engineering,Individual Contributor,16.9
EMP0978,Sales,Individual Contributor,0.7
EMP0979,Engineering,Manager,14.2
EMP0980,Engineering,Manager,19.4
EMP0981,Engineering,Individual Contributor,9.0
EMP0982,Marketing,Manager,5.1
EMP0983,Sales,Individual Contributor,14.2
EMP0984,Sales,Individual Contributor,16.4
EMP0985,Marketing,Individual Contributor,11.2
EMP0986,Engineering,Individual Contributor,19.4
EMP0987,HR,Manager,1.5
EMP0988,Engineering,Individual Contributor,10.3
EMP0989,Sales,Individual Contributor,14.5
EMP0990,Marketing,Manager,17.3
EMP0991,Marketing,Manager,4.0
EMP0992,HR,Individual Contributor,16.1
EMP0993,Engineering,Individual Contributor,11.3
EMP0994,Engineering,Individual Contributor,8.2
EMP0995,Engineering,Manager,3.1
EMP0996,Sales,Individual Contributor,17.4
EMP0997,Finance,Director,3.6
EMP0998,Sales,Individual Contributor,6.5
EMP0999,Finance,Individual Contributor,6.2
EMP1000,Engineering,Individual Contributor,17.5
